,Detected,point_0,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,point_10,point_11,point_12,point_13,point_14,point_15,point_16,point_17,point_18,point_19,point_20
0,False,,,,,,,,,,,,,,,,,,,,,
1,False,,,,,,,,,,,,,,,,,,,,,
2,False,,,,,,,,,,,,,,,,,,,,,
3,False,,,,,,,,,,,,,,,,,,,,,
4,False,,,,,,,,,,,,,,,,,,,,,
5,False,,,,,,,,,,,,,,,,,,,,,
6,False,,,,,,,,,,,,,,,,,,,,,
7,False,,,,,,,,,,,,,,,,,,,,,
8,False,,,,,,,,,,,,,,,,,,,,,
9,False,,,,,,,,,,,,,,,,,,,,,
10,False,,,,,,,,,,,,,,,,,,,,,
11,False,,,,,,,,,,,,,,,,,,,,,
12,False,,,,,,,,,,,,,,,,,,,,,
13,False,,,,,,,,,,,,,,,,,,,,,
14,False,,,,,,,,,,,,,,,,,,,,,
15,False,,,,,,,,,,,,,,,,,,,,,
16,False,,,,,,,,,,,,,,,,,,,,,
17,False,,,,,,,,,,,,,,,,,,,,,
18,False,,,,,,,,,,,,,,,,,,,,,
19,False,,,,,,,,,,,,,,,,,,,,,
20,False,,,,,,,,,,,,,,,,,,,,,
21,False,,,,,,,,,,,,,,,,,,,,,
22,False,,,,,,,,,,,,,,,,,,,,,
23,False,,,,,,,,,,,,,,,,,,,,,
24,False,,,,,,,,,,,,,,,,,,,,,
25,False,,,,,,,,,,,,,,,,,,,,,
26,False,,,,,,,,,,,,,,,,,,,,,
27,False,,,,,,,,,,,,,,,,,,,,,
28,False,,,,,,,,,,,,,,,,,,,,,
29,False,,,,,,,,,,,,,,,,,,,,,
30,False,,,,,,,,,,,,,,,,,,,,,
31,False,,,,,,,,,,,,,,,,,,,,,
32,False,,,,,,,,,,,,,,,,,,,,,
33,False,,,,,,,,,,,,,,,,,,,,,
34,False,,,,,,,,,,,,,,,,,,,,,
35,False,,,,,,,,,,,,,,,,,,,,,
36,False,,,,,,,,,,,,,,,,,,,,,
37,False,,,,,,,,,,,,,,,,,,,,,
